Sample	Cave	Quartz	muscovite	clinochlorite	albite	Orthoclase	calcite	Microcline	dolomite	Anorthite	Gypsum
21-10d	21	0.7243	0.1436	0.0082	0.0569	0.035	0	0	0	0.032	0
22-11d	22	0.6466	0.1582	0.0077	0.0669	0	0.0088	0.1117	0	0	0
17-1b	17	0.4807	0.2828	0.0099	0	0	0.2265	0	0	0	0
17-1c	17	0.8859	0.0867	0	0	0	0.0273	0	0	0	0
27-5b	27	0.3349	0.1948	0.0127	0.0618	0	0.065	0.2804	0.0504	0	0
27-5d	27	0.5011	0.152	0.0112	0	0	0.1594	0.1379	0.0385	0	0
30-8d	30	0.3965	0.1267	0.0049	0.0153	0	0.1949	0.0861	0.1756	0	0
31-9b	31	0.3965	0.1985	0.0058	0	0	0.049	0.158	0.1922	0	0
31-9c	31	0.1393	0.201	0	0	0	0.0556	0.0795	0.5245	0	0
35-1	35	0.6982	0.0923	0	0.0812	0.0433	0	0.0813	0	0	0
38-9	38	0.3827	0.2896	0	0	0	0	0	0	0	0.3277
10-1	10	0.759	0.1141	0	0.0591	0	0	0.0613	0.0065	0	0
4-1	4	0.2081	0.2391	0.0049	0	0	0.5479	0	0	0	0
2-3	2	0.8209	0.1125	0	0	0	0	0.066	0	0	0
2-2	2	0.7524	0.1157	0	0.0428	0	0.0189	0.0701	0	0	0
2-1	2	0.7411	0.1015	0.0031	0.0587	0	0	0.0957	0	0	0
